ID,Page,Section,Contexte,FR,EN,ES,PT,JA,ID,VI
,,,,,,,,,,
=== NAVIGATION (partagé — pre-rempli depuis les homepages existantes) ===,,,,,,,,,,
nav_home,shared,nav,Lien menu principal,Accueil,Home,Inicio,Início,ホーム,Beranda,Trang chủ
nav_tech,shared,nav,Lien menu principal,Technologie,Technology,Tecnología,Tecnologia,技術,Teknologi,Công nghệ
nav_why,shared,nav,Lien menu principal,Pourquoi HACE,Why HACE,Por qué HACE,Por que HACE,なぜHACE,Mengapa HACE,Tại sao HACE
nav_team,shared,nav,Lien menu principal,Équipe,Team,Equipo,Equipa,チーム,Tim,Đội ngũ
nav_cta,shared,nav,Bouton contact dans la nav,Nous contacter,Contact us,Contáctenos,Contacte-nos,お問い合わせ,Hubungi kami,Liên hệ
,,,,,,,,,,
=== SLUGS D'URL (pour la structure des dossiers — IMPORTANT POUR LE SEO) ===,,,,,,,,,,
slug_tech,technologie,url,"Slug du dossier technologie dans l'URL (ex: /en/technology/)",technologie,technology,tecnologia,tecnologia,technology,teknologi,cong-nghe
slug_avantages,avantages,url,"Slug du dossier avantages dans l'URL (ex: /en/why-hace/)",avantages,why-hace,por-que-hace,por-que-hace,why-hace,mengapa-hace,tai-sao-hace
,,,,,,,,,,
=== PAGE TECHNOLOGIE — META SEO ===,,,,,,,,,,
tech_title,technologie,meta,"<title> de la page",Technologie HACE — Comment transformer les vagues en électricité,,,,,,
tech_description,technologie,meta,meta description,"OWC, physique, module, essais en mer — tout sur la technologie HACE qui transforme les vagues en électricité non-intermittente.",,,,,,
tech_og_title,technologie,meta,Open Graph title,HACE — De l'électricité avec les vagues même par mer calme,,,,,,
tech_og_description,technologie,meta,Open Graph description,"La turbine tourne à fond sans vagues visibles. Moins de 3g CO₂/kWh, non-intermittente, estimé 15€/MWh selon site. Technologie française brevetée, testée en mer.",,,,,,
tech_og_image_alt,technologie,meta,Alt text image OG,Turbine HACE en mer — système houlomoteur français breveté,,,,,,
tech_twitter_description,technologie,meta,Twitter/X description,La turbine tourne à fond sans vagues visibles. Moins de 3g CO₂/kWh. Non-intermittente. Testée en mer. Technologie française brevetée.,,,,,,
tech_dc_title,technologie,meta,Dublin Core title,HACE — Énergie houlomotrice non-intermittente par Colonnes d'Eau Oscillantes Multiples,,,,,,
tech_dc_description,technologie,meta,Dublin Core description,"HACE développe une technologie de conversion de l'énergie des vagues basée sur les Colonnes d'Eau Oscillantes Multiples (OWC) couplées à des soupapes unidirectionnelles. Production non-intermittente dès 5 cm de houle. Moins de 3g CO₂/kWh. LCOE 15€/MWh. Facteur de charge 50-90%.",,,,,,
tech_dc_coverage,technologie,meta,Dublin Core coverage,"Mondial — zones côtières, 150+ pays",,,,,,
tech_citation_title,technologie,meta,Citation title pour Google Scholar,HACE — Technologie houlomotrice OWC multiples non-intermittente,,,,,,
tech_subject,technologie,meta,Meta subject,Énergie houlomotrice — production d'électricité par les vagues,,,,,,
tech_topic,technologie,meta,Meta topic,"Énergie marine renouvelable, technologie OWC, hydrogène vert maritime",,,,,,
